Name,Icon,Description,Weight,Price,Denomination,Rarity,Category,HarvestBonus,ApplicableTypes
Breath Gland,icons/commodities/biological/organ-bladder-red.webp,The volatile gland responsible for a dragon's deadly breath weapon.,1,30,gp,rare,component,,
Dragon Heart,icons/commodities/biological/organ-heart-red.webp,Still-warm draconic heart pulsing with elemental magic.,3,80,gp,veryRare,component,,
Wyrmling Scale,icons/commodities/leather/scales-green.webp,A small but perfectly formed scale from a juvenile dragon.,0.5,4,gp,common,material,,
Monster Hide,icons/commodities/leather/fur-pelt-brown.webp,"Tough, scarred hide from a creature of monstrous origin.",3,5,sp,common,material,,
Monster Fangs,icons/commodities/biological/hand-clawed-brown.webp,Wickedly shaped fangs from a dangerous monstrosity.,0.5,4,sp,common,material,,
Monster Sinew,icons/commodities/biological/organ-intestines-red.webp,"Fibrous, elastic cords of muscle and tendon from a powerful beast.",1,6,sp,common,material,,
Aberrant Organ,icons/commodities/biological/organ-liver-red.webp,A bizarrely shaped organ with no obvious biological analogue.,1,3,gp,uncommon,component,,
Predator Musk,icons/commodities/materials/slime-brown.webp,A potent scent gland secretion that can repel or attract animals.,0.5,5,gp,uncommon,component,,
Alpha Trophy,icons/commodities/materials/slime-brown.webp,"A distinctive marking, crest, or appendage from a dominant specimen.",1,8,gp,rare,trophy,,
Chimeric Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A shimmering residue extracted from a creature of mixed origins.,0.5,15,gp,rare,component,,
Infernal Ash,icons/commodities/materials/feather-white-glowing-fire.webp,Grey cinders left behind when a fiend is slain; mildly toxic to touch.,0.5,3,sp,common,component,,
Demon Ichor,icons/consumables/potions/bottle-conical-corked-green.webp,Caustic black blood that burbles with barely contained chaos.,0.5,8,sp,common,component,,
Devil Horn,icons/commodities/bones/horn-curved-brown.webp,"A hard, curved horn from a devil; resonates faintly with infernal power.",1,2,gp,uncommon,material,,
Fiendish Hide,icons/commodities/leather/fur-pelt-brown.webp,Leathery skin from a fiend; naturally resistant to fire and cold.,3,4,gp,uncommon,material,,
Abyssal Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,Distilled chaos energy solidified into an unstable crystalline form.,0.5,10,gp,rare,component,,
Hellfire Gland,icons/commodities/biological/organ-bladder-red.webp,A pulsating organ that produces a fiend's signature hellfire.,1,20,gp,rare,component,,
Damned Soul Residue,icons/commodities/treasure/brooch-gold-eye-green.webp,A faint impression of a trapped soul released when the fiend was destroyed.,0.5,30,gp,veryRare,component,,
Psionic Crystal,icons/commodities/gems/gem-cluster-purple.webp,A jagged crystal that grew within an aberrant creature's neural cluster.,0.5,5,gp,uncommon,component,,
Aberrant Flesh,icons/commodities/biological/organ-intestines-red.webp,Non-euclidean tissue that continues to shift shape even after death.,2,3,gp,uncommon,component,,
Mind Residue,icons/consumables/potions/bottle-conical-corked-blue.webp,A gossamer film left behind by a creature of immense psionic power.,0.5,8,gp,rare,component,,
Eldritch Ichor,icons/consumables/potions/bottle-conical-corked-green.webp,A luminescent fluid that hums with alien energy.,0.5,12,gp,rare,component,,
Far Realm Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A destabilizing fragment of Far Realm reality crystallized in physical form.,0.5,25,gp,veryRare,component,,
Void Fragment,icons/commodities/gems/gem-cluster-teal.webp,A sliver of absolute nothingness somehow given physical form.,0.5,35,gp,veryRare,component,,
Radiant Dust,icons/commodities/materials/feather-white-glowing-fire.webp,Fine golden powder shaken loose from a celestial's wings or vestments.,0.5,5,gp,uncommon,component,,
Celestial Feather,icons/commodities/materials/feather-blue-green.webp,A luminous feather shed by a celestial being; radiates faint warmth.,0.5,8,gp,uncommon,component,,
Divine Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A concentrated droplet of divine energy solidified on contact with air.,0.5,15,gp,rare,component,,
Sacred Blood,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,"Shimmering, warm blood from a celestial creature with curative properties.",0.5,20,gp,rare,component,,
Angelic Plume,icons/commodities/materials/feather-blue-green.webp,"A large, perfect feather from a powerful angel that glows softly.",1,30,gp,veryRare,component,,
Blessed Organ,icons/commodities/biological/organ-liver-red.webp,An internal organ suffused with divine grace; warm to the touch.,1,40,gp,veryRare,component,,
Arcane Gear,icons/commodities/metal/ingot-steel-grey.webp,A precisely machined cog or sprocket still faintly enchanted.,1,4,sp,common,material,,
Animated Metal,icons/commodities/metal/ingot-steel-grey.webp,A plate or strut that continues to twitch with residual animation magic.,2,1,gp,common,material,,
Golem Core Fragment,icons/commodities/gems/gem-cluster-red.webp,A cracked shard from the animating core of a construct.,1,5,gp,uncommon,component,,
Enchanted Plating,icons/commodities/leather/scale-chitin-grey.webp,A large section of armored plating still holding its enchantment.,3,8,gp,uncommon,material,,
Power Crystal,icons/commodities/gems/gem-cluster-purple.webp,An energy storage crystal that once powered a construct's actions.,0.5,12,gp,rare,component,,
Construct Heart,icons/commodities/biological/organ-heart-red.webp,The primary animating focus of a construct; still faintly active.,2,25,gp,veryRare,component,,
Elemental Mote,icons/commodities/gems/gem-amber-insect-orange.webp,A swirling marble-sized orb of elemental energy captured in a vial.,0.5,2,gp,common,component,,
Primal Ash,icons/commodities/materials/feather-white-glowing-fire.webp,Fine residue left when an elemental's physical form collapses.,0.5,4,gp,common,component,,
Elemental Core,icons/commodities/gems/gem-cluster-red.webp,A dense node of concentrated elemental matter pulled from a larger elemental.,1,10,gp,uncommon,component,,
Condensed Element,icons/commodities/gems/gem-amber-insect-orange.webp,"A solid block of almost pure elemental material, stable outside its plane.",2,15,gp,rare,material,,
Pure Elemental Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,An almost impossibly refined distillation of elemental power.,0.5,30,gp,veryRare,component,,
Fey Dust,icons/commodities/materials/feather-white-glowing-fire.webp,Glittering iridescent powder that drifts from fey creatures as they die.,0.5,2,gp,common,component,,
Pixie Wing,icons/commodities/materials/feather-blue-green.webp,"A translucent, gossamer wing from a small fey; crumbles in a day.",0.5,4,gp,common,component,,
Enchanted Bark,icons/commodities/materials/slime-green.webp,Fibrous bark from a fey creature interwoven with nature magic.,1,3,gp,common,material,,
Fey Blossom,icons/consumables/potions/bottle-bulb-corked-purple.webp,A perpetually blooming flower that only grows in the presence of fey magic.,0.5,8,gp,uncommon,component,,
Glamour Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A vial of captured glamour that shimmers with illusory potential.,0.5,15,gp,rare,component,,
Archfey Tear,icons/commodities/gems/gem-cluster-teal.webp,A crystallized tear of profound emotion from an archfey-touched creature.,0.5,35,gp,veryRare,component,,
Giant Fingernail,icons/commodities/materials/feather-curled-white.webp,"A thick, overgrown nail from a giant; surprisingly durable.",1,3,sp,common,material,,
Giant Hair,icons/commodities/materials/feather-curled-white.webp,"A bundle of coarse, rope-thick hair from a giant.",2,2,sp,common,material,,
Giant Blood,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,A clay jug of giant blood with potent alchemical properties.,3,1,gp,uncommon,component,,
Giant Heart,icons/commodities/biological/organ-heart-red.webp,A massive heart the size of a barrel; valued by potion-brewers.,8,6,gp,rare,component,,
Titan Bone,icons/commodities/bones/bone-simple-white-brown.webp,A femur or rib section from an enormous giant; dense as iron.,10,10,gp,rare,material,,
Colossus Tooth,icons/commodities/bones/bone-jaw-teeth-white.webp,A molar the size of a cobblestone from a true titan-class giant.,3,20,gp,veryRare,material,,
Humanoid Teeth,icons/commodities/bones/bone-jaw-teeth-white.webp,A pouch of humanoid teeth; morbid but occasionally useful to alchemists.,0.5,1,sp,common,trophy,,
Tanned Skin,icons/commodities/leather/leather-bolt-brown.webp,A cured patch of humanoid skin; disturbing but prized by dark crafters.,1,4,sp,common,material,,
Blood Vial,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,A small vial of humanoid blood; useful for tracking rituals.,0.5,3,sp,common,component,,
Skull Trophy,icons/commodities/bones/skull-bird-grey.webp,A cleaned and polished skull representing a notable kill.,2,5,sp,common,trophy,,
Warrior Heart,icons/commodities/biological/organ-heart-red.webp,"The heart of a seasoned warrior, still bearing the marks of many battles.",1,4,gp,uncommon,component,,
Acidic Residue,icons/consumables/potions/bottle-conical-corked-blue.webp,A corrosive slime scraped from the remains of an ooze creature.,1,3,sp,common,component,,
Ooze Membrane,icons/commodities/materials/slime-green.webp,"A thin, stretchy film from a gelatinous creature; waterproof and acidic.",1,6,sp,common,material,,
Gelatinous Extract,icons/consumables/potions/bottle-conical-corked-blue.webp,A jar of semi-solid ooze extract with mild preservative properties.,2,1,gp,uncommon,component,,
Corrosive Core,icons/commodities/gems/gem-cluster-red.webp,A dense nucleic mass from a large ooze; intensely acidic.,1,5,gp,rare,component,,
Prismatic Slime,icons/commodities/materials/slime-purple.webp,A sample of multi-hued slime capable of multiple damage types.,0.5,12,gp,veryRare,component,,
Herb Bundle,icons/commodities/materials/slime-green.webp,A bundle of roots and stems harvested from an ambulatory plant creature.,1,2,sp,common,food,,
Living Bark,icons/commodities/materials/slime-green.webp,A section of bark that still pulses faintly with growth energy.,2,4,sp,common,material,,
Root Tendril,icons/commodities/materials/slime-green.webp,"A thick, flexible root stripped from a plant creature; rich in nutrients.",1,3,sp,common,material,,
Blossom Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A vial of concentrated nectar extracted from a magical flower creature.,0.5,3,gp,uncommon,component,,
Treant Heartwood,icons/commodities/materials/slime-green.webp,An ancient burl of magically suffused wood from the core of a treant.,5,10,gp,rare,material,,
Fungal Spore Sac,icons/commodities/biological/organ-bladder-red.webp,A bulging sac of spores harvested from a fungal creature; handle with care.,1,4,gp,uncommon,component,,
Winter Wolf Pelt,icons/commodities/leather/fur-pelt-white.webp,"A thick, pristine white pelt still cold to the touch from the beast's icy nature.",5,8,gp,uncommon,material,,
Winter Wolf Fangs,icons/commodities/biological/hand-clawed-brown.webp,"Long, frost-rimmed fangs that chill the air around them.",1,4,gp,uncommon,material,,
Frost Breath Gland,icons/consumables/potions/bottle-conical-corked-cyan.webp,The gland responsible for a winter wolf's freezing breath; crackles with cold.,1,12,gp,rare,component,,
Winter Wolf Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,"Dense, frost-flavored meat from a winter wolf; keeps cold naturally.",3,1,gp,uncommon,food,,
Wolf Pelt,icons/commodities/leather/fur-pelt-brown.webp,A grey wolf pelt in good condition; sought by trappers and leatherworkers.,3,6,sp,common,material,,
Wolf Fangs,icons/commodities/biological/hand-clawed-brown.webp,"Sharp, unbroken wolf fangs useful for jewelry or spell components.",0.5,3,sp,common,material,,
Wolf Heart,icons/commodities/biological/organ-heart-red.webp,A large wolf heart said to confer the beast's tenacity when used in potions.,1,2,gp,uncommon,component,,
Wolf Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,"Lean, gamey wolf meat that sustains well on long marches.",2,4,sp,common,food,,
Dinosaur Meat,icons/consumables/food/shank-meat-bone-glazed-brown.webp,"Thick, surprisingly flavorful cuts of dinosaur flesh.",3,8,sp,common,food,,
Dinosaur Hide,icons/commodities/leather/fur-pelt-brown.webp,"Rough, scale-textured hide from a dinosaur; excellent for heavy armor.",5,6,gp,uncommon,material,,
Dinosaur Bone,icons/commodities/bones/bone-simple-white-brown.webp,"A dense, fossilized-looking bone from a large dinosaur.",4,4,gp,uncommon,material,,
Dinosaur Horn/Crest,icons/commodities/bones/horn-curved-brown.webp,A decorative horn or cranial crest harvested intact from a dinosaur.,2,5,gp,uncommon,trophy,,
T-Rex Fang,icons/commodities/biological/hand-clawed-brown.webp,A massive serrated tooth from a tyrannosaurus; as long as a shortsword.,3,15,gp,rare,material,,
T-Rex Hide,icons/commodities/leather/fur-pelt-brown.webp,Incredibly thick tyrannosaur skin with natural armor-like ridges.,8,20,gp,rare,material,,
Triceratops Horn,icons/commodities/bones/horn-curved-brown.webp,One of the great horns from a triceratops; dense and sharply pointed.,4,12,gp,rare,material,,
Triceratops Frill,icons/commodities/bones/horn-antler-brown.webp,The decorative neck frill from a triceratops; vividly patterned.,3,8,gp,uncommon,trophy,,
Allosaurus Claw,icons/commodities/biological/hand-clawed-brown.webp,"A curved, hand-length killing claw from an allosaurus foreleg.",1,10,gp,uncommon,material,,
Stegosaurus Plate,icons/commodities/leather/scale-chitin-grey.webp,A bony dorsal plate from a stegosaurus; light yet surprisingly rigid.,3,8,gp,uncommon,material,,
Velociraptor Claw,icons/commodities/biological/hand-clawed-brown.webp,The signature sickle-shaped killing claw from a velociraptor foot.,0.5,5,gp,uncommon,material,,
Pteranodon Wing Membrane,icons/commodities/materials/feather-damaged-brown.webp,A large section of leathery wing from a pteranodon; nearly translucent.,2,6,gp,uncommon,material,,
Ankylosaurus Shell Fragment,icons/commodities/leather/scale-chitin-grey.webp,A hefty chunk of the ankylosaurus's natural bone armor.,4,8,gp,uncommon,material,,
Yuan-ti Scale,icons/commodities/leather/scales-green.webp,Iridescent serpentine scales shed by a yuan-ti; subtly enchanted.,1,4,gp,uncommon,material,,
Serpent Venom Gland,icons/commodities/biological/organ-bladder-red.webp,A delicate venom gland carefully removed from a yuan-ti corpse.,0.5,12,gp,rare,component,,
Troll Claws,icons/commodities/biological/hand-clawed-brown.webp,The jagged claws of a troll; still slowly trying to reattach themselves.,1,5,gp,uncommon,material,,
Troll Eye,icons/commodities/biological/eye-blue.webp,A milky troll eye that twitches occasionally; sought by alchemists.,0.5,8,gp,uncommon,component,,
Troll Gland,icons/commodities/biological/organ-bladder-red.webp,An oozing gland from a troll's body responsible for its regeneration.,1,15,gp,rare,component,,
Troll Lymphatic Fluid,icons/consumables/potions/bottle-conical-corked-blue.webp,A vial of the opalescent fluid that carries regenerative factors through a troll's body.,0.5,12,gp,rare,component,,
Froghemoth Tentacle,icons/commodities/biological/tentacle-thorned-green.webp,"A massive, mucus-covered tentacle from a froghemoth; still twitching.",5,10,gp,rare,material,,
Froghemoth Tongue,icons/commodities/biological/tentacle-thorned-green.webp,"A prehensile, sticky tongue the size of a rope; potent alchemical reagent.",2,15,gp,rare,component,,
Froghemoth Eye,icons/commodities/biological/eye-blue.webp,One of the froghemoth's compound eyes; grants disorienting visions when studied.,1,20,gp,rare,component,,
Russet Mold Spore,icons/commodities/materials/slime-green.webp,A concentrated sample of the dangerous mold that creates vegepygmies.,0.5,8,gp,rare,component,,
Vegepygmy Bark,icons/commodities/materials/slime-green.webp,"Tough, woody skin from a vegepygmy; laced with plant toxins.",1,3,gp,uncommon,material,,
Grung Poison Gland,icons/commodities/biological/organ-bladder-red.webp,A tiny but potent venom gland from a grung; secretes a rainbow of poisons.,0.5,10,gp,rare,component,,
Grung Skin,icons/commodities/leather/scale-chitin-grey.webp,Brightly colored amphibian skin from a grung; the pigment itself is toxic.,1,5,gp,uncommon,material,,
Basilisk Eye,icons/commodities/biological/eye-blue.webp,"A heavy, crystalline eye from a basilisk; retains faint petrifying energy.",1,15,gp,rare,component,,
Basilisk Hide,icons/commodities/leather/scale-chitin-grey.webp,"Stony, rough-textured hide from a basilisk; partially petrified.",4,8,gp,uncommon,material,,
Beholder Eye Stalk,icons/commodities/biological/eye-tentacle-green-orange.webp,A wriggling eyestalk from a beholder; each one channels a different magical ray.,1,20,gp,rare,component,,
Central Eye Lens,icons/commodities/biological/eye-tentacle-green-orange.webp,The massive central lens from a beholder; suppresses magic when held aloft.,2,50,gp,veryRare,component,,
Beholder Chitin,icons/commodities/leather/scale-chitin-grey.webp,"Tough, overlapping chitin plates from a beholder's body.",3,15,gp,rare,material,,
Shambling Mound Compost,icons/commodities/materials/slime-green.webp,"Rich, supernaturally fertile compost from the body of a shambling mound.",5,2,gp,common,component,,
Lightning-Charged Vine,icons/commodities/materials/slime-green.webp,A vine from a shambling mound still crackling with absorbed lightning.,1,8,gp,uncommon,component,,
Girallon Arm,icons/commodities/biological/legs-insect-brown.webp,One of the powerful arms of a girallon; still possessed of fearsome grip strength.,6,6,gp,uncommon,trophy,,
Girallon Fur,icons/commodities/leather/fur-pelt-brown.webp,Dense white fur from a girallon; surprisingly soft despite the beast's savagery.,3,4,gp,uncommon,material,,
Hydra Head,icons/commodities/biological/organ-heart-red.webp,A severed hydra head still snapping reflexively; must be kept cool.,3,10,gp,uncommon,trophy,,
Hydra Blood,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,Caustic blood from a hydra imbued with its regenerative properties.,1,15,gp,rare,component,,
Regenerating Flesh,icons/commodities/biological/organ-intestines-red.webp,A chunk of hydra flesh that visibly knits itself back together over minutes.,2,25,gp,veryRare,component,,
Harvester's Kit,icons/tools/cooking/knife-cleaver-steel-grey.webp,"A comprehensive kit of knives, extractors, and sample vials for field harvesting.",5,25,gp,uncommon,material,1,beast;monstrosity;dragon;fiend;aberration;celestial;construct;elemental;fey;giant;humanoid;ooze;plant;undead
Field Dissection Kit,icons/tools/cooking/knife-chef-steel-brown.webp,A specialized set of scalpels and preservation jars optimized for beast and monster anatomy.,4,50,gp,rare,material,2,beast;monstrosity
Fiend Extraction Receptacle,icons/tools/cooking/mortar-stone-yellow.webp,An infernal-glass container lined with binding runes to safely collect fiendish materials.,2,100,gp,rare,material,3,fiend
Dragon Scale Pry Bar,icons/tools/cooking/fork-steel-grey.webp,A hardened steel pry bar with serrated edges designed to remove dragon scales without cracking.,3,75,gp,rare,material,2,dragon
Black Dragon Scale,icons/commodities/leather/scales-brown.webp,Obsidian-black scales from a black dragon; faintly corroded along the edges by residual acid.,1,8,gp,uncommon,material,,dragon
Blue Dragon Scale,icons/commodities/leather/scales-blue.webp,Deep cobalt scales from a blue dragon; crackle faintly with static electricity.,1,8,gp,uncommon,material,,dragon
Green Dragon Scale,icons/commodities/leather/scales-green.webp,Dark forest-green scales from a green dragon; faintly reek of chlorine.,1,8,gp,uncommon,material,,dragon
Red Dragon Scale,icons/commodities/leather/scales-brown.webp,Brilliant crimson scales from a red dragon; warm to the touch and tinged with soot.,1,8,gp,uncommon,material,,dragon
White Dragon Scale,icons/commodities/leather/scales-white.webp,Ice-white scales from a white dragon; cold to the touch and razor-edged.,1,8,gp,uncommon,material,,dragon
Dragon Fang,icons/commodities/biological/hand-clawed-brown.webp,A single massive fang from a chromatic dragon; retains a trace of elemental energy.,2,14,gp,rare,material,,dragon
Black Dragon Acid Gland,icons/consumables/potions/bottle-conical-corked-green.webp,A volatile gland from a black dragon still oozing caustic acid; handle with extreme care.,1,25,gp,rare,component,,dragon
Blue Dragon Lightning Gland,icons/consumables/potions/bottle-conical-bubbling-blue.webp,A crackling gland from a blue dragon that discharges sparks when handled roughly.,1,25,gp,rare,component,,dragon
Green Dragon Poison Gland,icons/consumables/potions/bottle-conical-corked-green.webp,A swollen gland from a green dragon packed with concentrated chlorine gas.,1,25,gp,rare,component,,dragon
Red Dragon Fire Gland,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,A searing gland from a red dragon still radiating intense heat; requires insulated tongs to handle.,1,28,gp,rare,component,,dragon
White Dragon Frost Gland,icons/consumables/potions/bottle-conical-corked-cyan.webp,A frigid gland from a white dragon that crystallizes moisture in the surrounding air.,1,25,gp,rare,component,,dragon
Dragon Wing Membrane,icons/commodities/materials/feather-damaged-brown.webp,A large section of leathery wing membrane stripped from a dragon; surprisingly flexible and durable.,3,18,gp,uncommon,material,,dragon
Boar Tusk,icons/commodities/bones/horn-curved-brown.webp,A thick curved tusk ripped from a boar's jaw; dense and excellent for carving.,1,3,sp,common,material,,
Boar Hide,icons/commodities/leather/fur-pelt-brown.webp,A bristly hide from a boar; tough and weatherproof though coarse in texture.,3,5,sp,common,material,,
Bear Pelt,icons/commodities/leather/fur-pelt-brown.webp,A thick lustrous pelt from a bear; prized by furriers and trappers alike.,5,4,gp,uncommon,material,,
Bear Claws,icons/commodities/biological/hand-clawed-brown.webp,Long curved claws harvested from a bear; razor-sharp and dense.,1,2,gp,uncommon,material,,
Bear Fat,icons/commodities/materials/slime-brown.webp,A rendered jar of bear fat; excellent for preserving leather and waterproofing.,2,1,gp,uncommon,component,,
Giant Spider Silk,icons/commodities/biological/legs-insect-brown.webp,A harvested skein of extraordinarily strong silk from a giant spider; lightweight and nearly transparent.,0.5,3,gp,uncommon,material,,
Giant Spider Venom,icons/commodities/biological/organ-bladder-red.webp,A carefully extracted vial of giant spider venom; potent enough to paralyze a horse.,0.5,5,gp,rare,component,,
Giant Spider Fang,icons/commodities/biological/hand-clawed-brown.webp,A curved hollow fang from a giant spider still containing trace amounts of venom.,0.5,2,gp,uncommon,material,,
Skeleton Bone,icons/commodities/bones/bone-fragments-white.webp,A bleached bone harvested from an animated skeleton; faintly resonates with necrotic energy.,1,2,sp,common,material,,
Zombie Flesh,icons/commodities/biological/organ-intestines-red.webp,A fetid chunk of zombie flesh laced with necromantic energy; disturbing but alchemically useful.,2,3,sp,common,component,,
Ghoul Claw,icons/commodities/biological/hand-clawed-brown.webp,A single yellowed talon from a ghoul bearing a film of paralytic residue.,0.5,5,sp,common,material,,
Ghoul Tongue,icons/commodities/biological/mouth-toothed-purple.webp,"The long, rasping tongue of a ghoul; still faintly animated and coated in foul saliva.",0.5,4,gp,uncommon,component,,
Wraith Essence,icons/consumables/potions/bottle-bulb-corked-purple.webp,A sealed vial of swirling dark mist condensed from a wraith's dissolution; radiates cold.,0.5,8,gp,uncommon,component,,
Vampire Fang,icons/commodities/biological/hand-clawed-brown.webp,A retractable fang from a vampire; serrated and still hollow from centuries of feeding.,0.5,12,gp,rare,material,,
Vampire Blood,icons/consumables/potions/bottle-bulb-corked-glowing-red.webp,A dark vial of vampire blood; unnaturally thick and faintly luminescent in moonlight.,0.5,10,gp,rare,component,,
Owlbear Feather,icons/commodities/materials/feather-blue-green.webp,A large stiff feather from an owlbear's plumage; barbed and surprisingly sharp along the shaft.,0.5,4,sp,common,material,,
Owlbear Beak,icons/commodities/bones/beak-grey-brown.webp,The hooked beak of an owlbear; as hard as iron and retaining its fearsome curve.,1,3,gp,uncommon,material,,
Owlbear Pelt,icons/commodities/leather/fur-pelt-brown.webp,A dense mixed pelt of fur and feathers from an owlbear; unique and striking.,4,5,gp,uncommon,material,,
Manticore Spike,icons/commodities/biological/tail-scaled-green.webp,One of the barbed tail spikes from a manticore; naturally aerodynamic and poisonous at the tip.,0.5,3,gp,uncommon,material,,
Manticore Mane,icons/commodities/bones/horn-antler-brown.webp,A bundle of coarse reddish mane hair from a manticore; rough as wire.,2,2,gp,uncommon,material,,
Manticore Tail,icons/commodities/biological/tail-scaled-green.webp,The entire spiked tail section of a manticore; multiple spikes still intact and ready to be harvested.,3,8,gp,rare,material,,
Mind Flayer Brain,icons/commodities/biological/organ-brain-pink-purple.webp,The alien brain of a mind flayer; still pulsing with residual psionic energy even after death.,2,20,gp,rare,component,,
Mind Flayer Tentacle,icons/commodities/biological/tentacle-thorned-green.webp,One of the four facial tentacles of a mind flayer; lined with suckers that still twitch faintly.,0.5,8,gp,uncommon,component,,
Illithid Mucus,icons/consumables/potions/bottle-conical-corked-green.webp,A vial of the slick mucus secreted by a mind flayer's skin; mildly psychoactive on contact.,0.5,6,gp,uncommon,component,,
Gelatinous Cube Residue,icons/consumables/potions/bottle-conical-corked-green.webp,A jar of translucent acidic gel scraped from a gelatinous cube; retains mild digestive properties.,2,4,sp,common,component,,
