TableName,TableDescription,TableType,CritFailEffect,FumbleEffect,CritSuccessItem,CritSuccessQuantity,ItemName,DC,Quantity,ItemCategory
Dragon CR 11+ Harvest Table,,,,,,,Dragon Heart,35,1,component
Monstrosity CR 0-1 Harvest Table,Generic harvest table for monstrosities of CR 0-1.,generic,The carcass collapses unexpectedly; take 1d4 bludgeoning damage.,You tear the hide unevenly; one material item is of poor quality and worth half price.,,,"Monster Hide",13,1,material
Monstrosity CR 0-1 Harvest Table,,,,,,,Monster Fangs,13,1,material
Monstrosity CR 0-1 Harvest Table,,,,,,,Monster Sinew,15,1d4,material
Monstrosity CR 0-1 Harvest Table,,,,,,,Predator Musk,18,1,component
Monstrosity CR 2-4 Harvest Table,Generic harvest table for monstrosities of CR 2-4.,generic,The creature's barbed hide snags your tools; take 1d6 piercing damage and your harvesting tools are damaged.,You pull too hard on a sinew; you strain a muscle and have disadvantage on Strength checks for 1 hour.,,,"Monster Hide",15,1,material
Monstrosity CR 2-4 Harvest Table,,,,,,,Monster Fangs,15,1,material
Monstrosity CR 2-4 Harvest Table,,,,,,,Monster Sinew,17,1d4,material
Monstrosity CR 2-4 Harvest Table,,,,,,,Aberrant Organ,20,1,component
Monstrosity CR 2-4 Harvest Table,,,,,,,Alpha Trophy,23,1,trophy
Monstrosity CR 5-10 Harvest Table,Generic harvest table for monstrosities of CR 5-10.,generic,A defensive spine or toxic spray activates posthumously; take 2d6 poison damage and make a DC 13 Constitution save or be poisoned for 1 minute.,The creature's mass shifts as you work; you are knocked prone.,,,"Monster Sinew",19,1d4,material
Monstrosity CR 5-10 Harvest Table,,,,,,,Aberrant Organ,19,1,component
Monstrosity CR 5-10 Harvest Table,,,,,,,Predator Musk,21,1,component
Monstrosity CR 5-10 Harvest Table,,,,,,,Alpha Trophy,24,1,trophy
Monstrosity CR 5-10 Harvest Table,,,,,,,Chimeric Essence,27,1,component
Monstrosity CR 11+ Harvest Table,Generic harvest table for monstrosities of CR 11 or higher.,generic,The creature's apex defenses trigger in death; take 3d8 damage of the creature's primary damage type and make a DC 16 saving throw or suffer the associated condition for 1 minute.,The harvesting draws unwanted attention; a predator within 1 mile detects the kill and begins moving toward you.,,,"Aberrant Organ",27,1,component
Monstrosity CR 11+ Harvest Table,,,,,,,Alpha Trophy,27,1,trophy
Monstrosity CR 11+ Harvest Table,,,,,,,Predator Musk,29,1,component
Monstrosity CR 11+ Harvest Table,,,,,,,Chimeric Essence,32,1,component
Monstrosity CR 11+ Harvest Table,,,,,,,Chimeric Essence,35,2,component
Fiend CR 0-1 Harvest Table,Generic harvest table for fiends of CR 0-1.,generic,A burst of infernal energy scorches your hands; take 1d6 fire damage.,The infernal ash irritates your lungs; you cough for 1 minute and have disadvantage on Stealth checks.,,,"Infernal Ash",13,1d4,component
Fiend CR 0-1 Harvest Table,,,,,,,Demon Ichor,13,1,component
Fiend CR 0-1 Harvest Table,,,,,,,Devil Horn,15,1,material
Fiend CR 0-1 Harvest Table,,,,,,,Fiendish Hide,18,1,material
Fiend CR 2-4 Harvest Table,Generic harvest table for fiends of CR 2-4.,generic,The fiend's essence violently resists extraction; take 2d6 fire damage and make a DC 12 Wisdom save or be frightened for 1 minute.,Infernal ichor eats through one of your harvesting tools; a blade or probe is destroyed.,,,"Demon Ichor",15,1d4,component
Fiend CR 2-4 Harvest Table,,,,,,,Devil Horn,15,1,material
Fiend CR 2-4 Harvest Table,,,,,,,Fiendish Hide,17,1,material
Fiend CR 2-4 Harvest Table,,,,,,,Abyssal Essence,20,1,component
Fiend CR 2-4 Harvest Table,,,,,,,Hellfire Gland,23,1,component
Fiend CR 5-10 Harvest Table,Generic harvest table for fiends of CR 5-10.,generic,The fiend screams with its last breath; all creatures within 15 feet make a DC 14 Wisdom save or be frightened for 1 minute. You also take 2d8 fire damage.,The infernal aura lingers on you; you have disadvantage on Charisma checks with celestials and good-aligned creatures for 24 hours.,,,"Fiendish Hide",19,1,material
Fiend CR 5-10 Harvest Table,,,,,,,Abyssal Essence,19,1,component
Fiend CR 5-10 Harvest Table,,,,,,,Hellfire Gland,21,1,component
Fiend CR 5-10 Harvest Table,,,,,,,Damned Soul Residue,24,1,component
Fiend CR 5-10 Harvest Table,,,,,,,Damned Soul Residue,27,2,component
Fiend CR 11+ Harvest Table,Generic harvest table for fiends of CR 11 or higher.,generic,The fiend's death curse activates; you take 4d8 fire damage and are cursed â€” you have disadvantage on death saving throws until the curse is removed.,The fiend's true name brands itself on your mind; you suffer from nightmares and lose the benefit of a long rest.,,,"Abyssal Essence",27,1d4,component
Fiend CR 11+ Harvest Table,,,,,,,Hellfire Gland,27,1,component
Fiend CR 11+ Harvest Table,,,,,,,Damned Soul Residue,29,1,component
Fiend CR 11+ Harvest Table,,,,,,,Damned Soul Residue,32,2,component
Fiend CR 11+ Harvest Table,,,,,,,Damned Soul Residue,35,3,component
Aberration CR 0-1 Harvest Table,Generic harvest table for aberrations of CR 0-1.,generic,Alien thought-fragments discharge from the corpse; make a DC 11 Intelligence save or take 1d6 psychic damage.,The non-Euclidean anatomy confounds you; you lose 1 minute of harvesting time orienting yourself.,,,"Aberrant Flesh",13,1,component
Aberration CR 0-1 Harvest Table,,,,,,,Psionic Crystal,13,1,component
Aberration CR 0-1 Harvest Table,,,,,,,Mind Residue,15,1,component
Aberration CR 0-1 Harvest Table,,,,,,,Eldritch Ichor,18,1,component
Aberration CR 2-4 Harvest Table,Generic harvest table for aberrations of CR 2-4.,generic,Psionic feedback from the corpse; take 2d6 psychic damage and make a DC 13 Intelligence save or be incapacitated until the end of your next turn.,The alien biology bleeds an irritant; you have disadvantage on Wisdom saving throws for 1 hour.,,,"Aberrant Flesh",15,1,component
Aberration CR 2-4 Harvest Table,,,,,,,Psionic Crystal,15,1,component
Aberration CR 2-4 Harvest Table,,,,,,,Mind Residue,17,1,component
Aberration CR 2-4 Harvest Table,,,,,,,Eldritch Ichor,20,1,component
Aberration CR 2-4 Harvest Table,,,,,,,Far Realm Essence,23,1,component
Aberration CR 5-10 Harvest Table,Generic harvest table for aberrations of CR 5-10.,generic,A psychic death-scream erupts; all creatures within 10 feet take 3d6 psychic damage and must make a DC 15 Wisdom save or be stunned until the end of their next turn.,Your mind briefly touches the Far Realm through the corpse; you are confused and make all attacks at disadvantage until the end of your next turn.,,,"Psionic Crystal",19,1,component
Aberration CR 5-10 Harvest Table,,,,,,,Eldritch Ichor,19,1,component
Aberration CR 5-10 Harvest Table,,,,,,,Mind Residue,21,1,component
Aberration CR 5-10 Harvest Table,,,,,,,Far Realm Essence,24,1,component
Aberration CR 5-10 Harvest Table,,,,,,,Void Fragment,27,1,component
Aberration CR 11+ Harvest Table,Generic harvest table for aberrations of CR 11 or higher.,generic,The aberration's death opens a momentary rift; make a DC 18 Intelligence save or be transported 1d4 x 10 feet in a random direction.,The incomprehensible anatomy permanently marks you; you gain one level of madness (per the DMG rules on indefinite madness).,,,"Eldritch Ichor",27,1d4,component
Aberration CR 11+ Harvest Table,,,,,,,Mind Residue,27,1,component
Aberration CR 11+ Harvest Table,,,,,,,Far Realm Essence,29,1,component
Aberration CR 11+ Harvest Table,,,,,,,Void Fragment,32,1,component
Aberration CR 11+ Harvest Table,,,,,,,Void Fragment,35,2,component
Celestial CR 0-1 Harvest Table,Generic harvest table for celestials of CR 0-1.,generic,Divine reprisal for desecrating the remains; take 1d8 radiant damage.,The divine light fades rapidly; you work in sudden dimness and accidentally damage one sample.,,,"Radiant Dust",13,1d4,component
Celestial CR 0-1 Harvest Table,,,,,,,Celestial Feather,13,1,component
Celestial CR 0-1 Harvest Table,,,,,,,Divine Essence,15,1,component
Celestial CR 0-1 Harvest Table,,,,,,,Sacred Blood,18,1,component
Celestial CR 2-4 Harvest Table,Generic harvest table for celestials of CR 2-4.,generic,A burst of radiant energy burns your hands; take 2d8 radiant damage.,The sanctified aura overwhelms you; you are blinded until the end of your next turn.,,,"Radiant Dust",15,1d4,component
Celestial CR 2-4 Harvest Table,,,,,,,Celestial Feather,15,1,component
Celestial CR 2-4 Harvest Table,,,,,,,Divine Essence,17,1,component
Celestial CR 2-4 Harvest Table,,,,,,,Sacred Blood,20,1,component
Celestial CR 2-4 Harvest Table,,,,,,,Angelic Plume,23,1,component
Celestial CR 5-10 Harvest Table,Generic harvest table for celestials of CR 5-10.,generic,The celestial's soul departs in a blinding flash; all creatures within 15 feet take 3d8 radiant damage and must make a DC 15 Constitution save or be blinded for 1 minute.,The sheer holiness of the remains burns an impure soul; if you have committed an evil act in the past 24 hours you are frightened for 1 minute.,,,"Celestial Feather",19,1d4,component
Celestial CR 5-10 Harvest Table,,,,,,,Divine Essence,19,1,component
Celestial CR 5-10 Harvest Table,,,,,,,Sacred Blood,21,1,component
Celestial CR 5-10 Harvest Table,,,,,,,Angelic Plume,24,1,component
Celestial CR 5-10 Harvest Table,,,,,,,Blessed Organ,27,1,component
Celestial CR 11+ Harvest Table,Generic harvest table for celestials of CR 11 or higher.,generic,Divine judgment descends; take 4d10 radiant damage and make a DC 18 Wisdom save or be stunned for 1 minute.,The act of harvesting a celestial of this power taints you; you have disadvantage on Charisma (Persuasion) checks with good-aligned creatures for 7 days.,,,"Divine Essence",27,1d4,component
Celestial CR 11+ Harvest Table,,,,,,,Sacred Blood,27,1,component
Celestial CR 11+ Harvest Table,,,,,,,Angelic Plume,29,1,component
Celestial CR 11+ Harvest Table,,,,,,,Blessed Organ,32,1,component
Celestial CR 11+ Harvest Table,,,,,,,Blessed Organ,35,2,component
Construct CR 0-1 Harvest Table,Generic harvest table for constructs of CR 0-1.,generic,A released spring or mechanism strikes you; take 1d6 piercing damage.,A gear locks around your finger; you have disadvantage on fine manipulation until you pry it free (1 action).,,,"Arcane Gear",13,1d4,material
Construct CR 0-1 Harvest Table,,,,,,,Animated Metal,13,1,material
Construct CR 0-1 Harvest Table,,,,,,,Golem Core Fragment,15,1,component
Construct CR 0-1 Harvest Table,,,,,,,Enchanted Plating,18,1,material
Construct CR 2-4 Harvest Table,Generic harvest table for constructs of CR 2-4.,generic,The construct's animating force discharges; take 2d6 lightning damage.,A pressurized component vents; you are pushed 5 feet backward and are deafened until the end of your next turn.,,,"Animated Metal",15,1d4,material
Construct CR 2-4 Harvest Table,,,,,,,Golem Core Fragment,15,1,component
Construct CR 2-4 Harvest Table,,,,,,,Enchanted Plating,17,1,material
Construct CR 2-4 Harvest Table,,,,,,,Power Crystal,20,1,component
Construct CR 2-4 Harvest Table,,,,,,,Construct Heart,23,1,component
Construct CR 5-10 Harvest Table,Generic harvest table for constructs of CR 5-10.,generic,The central power source detonates; all creatures within 10 feet take 3d6 lightning damage (DC 14 Dexterity save for half).,The arcane feedback fries your nervous system briefly; you cannot take reactions until the end of your next turn.,,,"Enchanted Plating",19,1d4,material
Construct CR 5-10 Harvest Table,,,,,,,Golem Core Fragment,19,1,component
Construct CR 5-10 Harvest Table,,,,,,,Power Crystal,21,1,component
Construct CR 5-10 Harvest Table,,,,,,,Construct Heart,24,1,component
Construct CR 5-10 Harvest Table,,,,,,,Construct Heart,27,2,component
Construct CR 11+ Harvest Table,Generic harvest table for constructs of CR 11 or higher.,generic,The master construct's core overloads catastrophically; all creatures within 20 feet take 4d10 force damage (DC 18 Dexterity save for half) and are knocked prone.,The arcane resonance disrupts your magic; you lose your highest available spell slot or recharge ability.,,,"Power Crystal",27,1d4,component
Construct CR 11+ Harvest Table,,,,,,,Enchanted Plating,27,2,material
Construct CR 11+ Harvest Table,,,,,,,Construct Heart,29,1,component
Construct CR 11+ Harvest Table,,,,,,,Construct Heart,32,2,component
Construct CR 11+ Harvest Table,,,,,,,Construct Heart,35,3,component
Elemental CR 0-1 Harvest Table,Generic harvest table for elementals of CR 0-1.,generic,The dying elemental lashes out; take 1d6 damage of the element's type.,The elemental material partially absorbs into your skin; you have vulnerability to the element's damage type for 1 minute.,,,"Elemental Mote",13,1d4,component
Elemental CR 0-1 Harvest Table,,,,,,,Primal Ash,13,1d4,component
Elemental CR 0-1 Harvest Table,,,,,,,Elemental Core,15,1,component
Elemental CR 0-1 Harvest Table,,,,,,,Condensed Element,18,1,material
Elemental CR 2-4 Harvest Table,Generic harvest table for elementals of CR 2-4.,generic,A surge of elemental energy erupts; take 2d6 damage of the element's type.,The residual elemental force buffets you; you are pushed 10 feet in a direction determined by the element type.,,,"Elemental Mote",15,2d4,component
Elemental CR 2-4 Harvest Table,,,,,,,Primal Ash,15,1d4,component
Elemental CR 2-4 Harvest Table,,,,,,,Elemental Core,17,1,component
Elemental CR 2-4 Harvest Table,,,,,,,Condensed Element,20,1,material
Elemental CR 2-4 Harvest Table,,,,,,,Pure Elemental Essence,23,1,component
Elemental CR 5-10 Harvest Table,Generic harvest table for elementals of CR 5-10.,generic,The elemental detonates as its planar tether breaks; all creatures within 15 feet take 3d8 damage of the element's type (DC 14 saving throw for half).,The elemental essence lingers on you; you leave a trail (footprints of fire/ice/earth/water) for 1 hour.,,,"Elemental Core",19,1,component
Elemental CR 5-10 Harvest Table,,,,,,,Condensed Element,19,1,material
Elemental CR 5-10 Harvest Table,,,,,,,Pure Elemental Essence,21,1,component
Elemental CR 5-10 Harvest Table,,,,,,,Pure Elemental Essence,24,2,component
Elemental CR 5-10 Harvest Table,,,,,,,Pure Elemental Essence,27,3,component
Elemental CR 11+ Harvest Table,Generic harvest table for elementals of CR 11 or higher.,generic,The elder elemental's death sends a planar shockwave; all creatures within 20 feet take 4d10 damage of the element's type and are restrained until the end of their next turn (DC 18 save negates the restrained condition).,The raw primal power is too much to contain; half the Condensed Element or Pure Elemental Essence you harvest disintegrates on contact with air.,,,"Primal Ash",27,2d4,component
Elemental CR 11+ Harvest Table,,,,,,,Elemental Core,27,1d4,component
Elemental CR 11+ Harvest Table,,,,,,,Condensed Element,29,2,material
Elemental CR 11+ Harvest Table,,,,,,,Pure Elemental Essence,32,2,component
Elemental CR 11+ Harvest Table,,,,,,,Pure Elemental Essence,35,4,component
Fey CR 0-1 Harvest Table,Generic harvest table for fey of CR 0-1.,generic,The fey's death curse triggers; take 1d4 psychic damage and flowers bloom painfully from your ears for 1 minute (no mechanical effect but deeply embarrassing).,The glamour unravels in a dazzling burst; you are blinded until the start of your next turn.,,,"Fey Dust",13,1d4,component
Fey CR 0-1 Harvest Table,,,,,,,Pixie Wing,13,1,component
Fey CR 0-1 Harvest Table,,,,,,,Enchanted Bark,15,1,material
Fey CR 0-1 Harvest Table,,,,,,,Fey Blossom,18,1,component
Fey CR 2-4 Harvest Table,Generic harvest table for fey of CR 2-4.,generic,The fey's dying glamour twists reality briefly; you are polymorphed into a rabbit for 1 round (no save).,The fey's charm leaks out; you are charmed by the next creature you see for 1 minute.,,,"Fey Dust",15,2d4,component
Fey CR 2-4 Harvest Table,,,,,,,Enchanted Bark,15,1,material
Fey CR 2-4 Harvest Table,,,,,,,Fey Blossom,17,1,component
Fey CR 2-4 Harvest Table,,,,,,,Glamour Essence,20,1,component
Fey CR 2-4 Harvest Table,,,,,,,Archfey Tear,23,1,component
Fey CR 5-10 Harvest Table,Generic harvest table for fey of CR 5-10.,generic,The fey's final curse takes hold; make a DC 15 Charisma save or be cursed to speak only in rhyme for 24 hours (disadvantage on Charisma checks that require normal speech).,The glamour resonance destabilizes your appearance; you have disadvantage on Charisma (Persuasion) and Charisma (Deception) checks for 1 hour.,,,"Fey Blossom",19,1d4,component
Fey CR 5-10 Harvest Table,,,,,,,Glamour Essence,19,1,component
Fey CR 5-10 Harvest Table,,,,,,,Archfey Tear,21,1,component
Fey CR 5-10 Harvest Table,,,,,,,Archfey Tear,24,2,component
Fey CR 5-10 Harvest Table,,,,,,,Archfey Tear,27,3,component
Fey CR 11+ Harvest Table,Generic harvest table for fey of CR 11 or higher.,generic,The archfey-touched creature's death warps the local Weave; all creatures within 20 feet must make a DC 18 Charisma save or be transported to a random point within 100 feet.,The power of the Feywild asserts itself; the harvested materials slowly transform into flowers over the next hour unless you succeed on a DC 18 Arcana check to stabilize them.,,,"Glamour Essence",27,2d4,component
Fey CR 11+ Harvest Table,,,,,,,Archfey Tear,27,1,component
Fey CR 11+ Harvest Table,,,,,,,Archfey Tear,29,2,component
Fey CR 11+ Harvest Table,,,,,,,Archfey Tear,32,3,component
Fey CR 11+ Harvest Table,,,,,,,Archfey Tear,35,4,component
Giant CR 0-1 Harvest Table,Generic harvest table for giants of CR 0-1.,generic,The corpse shifts as you harvest; take 1d6 bludgeoning damage as a limb falls on you.,Your tools bend under the giant's dense materials; harvesting takes twice as long.,,,"Giant Fingernail",13,1d4,material
Giant CR 0-1 Harvest Table,,,,,,,Giant Hair,13,1d4,material
Giant CR 0-1 Harvest Table,,,,,,,Giant Blood,15,1,component
Giant CR 0-1 Harvest Table,,,,,,,Giant Heart,18,1,component
Giant CR 2-4 Harvest Table,Generic harvest table for giants of CR 2-4.,generic,The giant's mass collapses; take 2d6 bludgeoning damage and make a DC 13 Strength save or be knocked prone.,You misjudge the scale of the anatomy; you harvest blood from the wrong vessel and the sample is contaminated.,,,"Giant Fingernail",15,1d4,material
Giant CR 2-4 Harvest Table,,,,,,,Giant Hair,15,1d6,material
Giant CR 2-4 Harvest Table,,,,,,,Giant Blood,17,1,component
Giant CR 2-4 Harvest Table,,,,,,,Giant Heart,20,1,component
Giant CR 2-4 Harvest Table,,,,,,,Titan Bone,23,1,material
Giant CR 5-10 Harvest Table,Generic harvest table for giants of CR 5-10.,generic,The giant's bulk shifts and crushes you; take 3d6 bludgeoning damage and make a DC 15 Strength save or be restrained until you use an action to escape (DC 15 Athletics).,A bone shard the size of a dagger flies free; take 1d8 piercing damage.,,,"Giant Blood",19,1d4,component
Giant CR 5-10 Harvest Table,,,,,,,Giant Heart,19,1,component
Giant CR 5-10 Harvest Table,,,,,,,Titan Bone,21,1,material
Giant CR 5-10 Harvest Table,,,,,,,Colossus Tooth,24,1,material
Giant CR 5-10 Harvest Table,,,,,,,Colossus Tooth,27,2,material
Giant CR 11+ Harvest Table,Generic harvest table for giants of CR 11 or higher.,generic,The titan-class giant's death rattles the earth; make a DC 17 Dexterity save or take 4d6 bludgeoning damage from shifting debris and be knocked prone.,The titanic scale of the work strains you; gain one level of exhaustion.,,,"Titan Bone",27,1d4,material
Giant CR 11+ Harvest Table,,,,,,,Giant Heart,27,1,component
Giant CR 11+ Harvest Table,,,,,,,Colossus Tooth,29,1,material
Giant CR 11+ Harvest Table,,,,,,,Colossus Tooth,32,2,material
Giant CR 11+ Harvest Table,,,,,,,Colossus Tooth,35,3,material
Humanoid CR 0-1 Harvest Table,Generic harvest table for humanoids of CR 0-1.,generic,The remains collapse and lacerate your hands; take 1d4 slashing damage.,The grim work unsettles your stomach; you have disadvantage on Wisdom saving throws for 10 minutes.,,,"Humanoid Teeth",13,1d4,trophy
Humanoid CR 0-1 Harvest Table,,,,,,,Blood Vial,13,1,component
Humanoid CR 0-1 Harvest Table,,,,,,,Tanned Skin,15,1,material
Humanoid CR 0-1 Harvest Table,,,,,,,Skull Trophy,18,1,trophy
Humanoid CR 2-4 Harvest Table,Generic harvest table for humanoids of CR 2-4.,generic,The corpse's weapon or trap snags you; take 1d6 damage of an appropriate type.,You are disturbed by your own actions; you must succeed on a DC 12 Wisdom saving throw or have the shaken condition for 1 hour (disadvantage on attack rolls).,,,"Blood Vial",15,1d4,component
Humanoid CR 2-4 Harvest Table,,,,,,,Tanned Skin,15,1,material
Humanoid CR 2-4 Harvest Table,,,,,,,Skull Trophy,17,1,trophy
Humanoid CR 2-4 Harvest Table,,,,,,,Warrior Heart,20,1,component
Humanoid CR 2-4 Harvest Table,,,,,,,Warrior Heart,23,2,component
Humanoid CR 5-10 Harvest Table,Generic harvest table for humanoids of CR 5-10.,generic,The hardened warrior's remains resist your efforts violently; take 2d8 slashing damage from the armor and weapons.,Something about this kill haunts you; you have disadvantage on Charisma (Persuasion) checks for 24 hours as guilt shadows your expression.,,,"Tanned Skin",19,1,material
Humanoid CR 5-10 Harvest Table,,,,,,,Skull Trophy,19,1,trophy
Humanoid CR 5-10 Harvest Table,,,,,,,Warrior Heart,21,1,component
Humanoid CR 5-10 Harvest Table,,,,,,,Warrior Heart,24,2,component
Humanoid CR 5-10 Harvest Table,,,,,,,Warrior Heart,27,3,component
Humanoid CR 11+ Harvest Table,Generic harvest table for humanoids of CR 11 or higher.,generic,A contingency or death ward on the corpse triggers; take 4d8 damage of an appropriate type and make a DC 17 saving throw or suffer an additional effect (DM's discretion based on the enemy's abilities).,The legend of this individual's deeds makes the harvesting deeply uncomfortable; make a DC 16 Wisdom save or gain a short-term madness (per DMG).,,,"Skull Trophy",27,1,trophy
Humanoid CR 11+ Harvest Table,,,,,,,Blood Vial,27,1d4,component
Humanoid CR 11+ Harvest Table,,,,,,,Warrior Heart,29,1,component
Humanoid CR 11+ Harvest Table,,,,,,,Warrior Heart,32,2,component
Humanoid CR 11+ Harvest Table,,,,,,,Warrior Heart,35,3,component
